	MG1655-1	IBUA8-3_1	phoU-1	cheR-1	rph-1	MG1655-2	IBUA8-3_2	phoU-2	cheR-2	rph-2	MG1655-3	IBUA8-3_3	phoU-3	cheR-3	rph-3
0.0051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17300000000000001	0.0	0.0	0.0
0.17173	0.245	0.365	0.551	0.226	0.39	0.282	0.361	0.45	0.386	0.256	0.377	0.336	0.39	0.292	0.324
0.33845	0.34600000000000003	0.435	0.555	0.39399999999999996	0.39299999999999996	0.41600000000000004	0.53	0.452	0.5870000000000001	0.457	0.445	0.306	0.228	0.295	0.228
0.5051	0.377	0.327	0.6709999999999999	0.387	0.452	0.479	0.489	0.58	0.5479999999999999	0.517	0.41	0.365	0.354	0.289	0.18899999999999997
0.67173	0.46799999999999997	0.284	0.66	0.444	0.509	0.536	0.414	0.5710000000000001	0.473	0.606	0.435	0.35600000000000004	0.345	0.41100000000000003	0.213
0.83848	0.49200000000000005	0.41200000000000003	0.792	0.504	0.47	0.561	0.508	0.597	0.5	0.535	0.45899999999999996	0.38299999999999995	0.306	0.37200000000000005	0.33899999999999997
1.00506	0.512	0.396	0.51	0.555	0.5870000000000001	0.44799999999999995	0.426	0.5820000000000001	0.682	0.52	0.413	0.302	0.455	0.423	0.192
1.17179	0.586	0.406	0.818	0.465	0.46399999999999997	0.655	0.534	0.69	0.593	0.693	0.5529999999999999	0.278	0.365	0.366	0.135
1.33845	0.607	0.327	0.77	0.65	0.584	0.479	0.39	0.777	0.647	0.418	0.41	0.299	0.386	0.289	0.12300000000000001
1.50515	0.429	0.349	0.7959999999999999	0.408	0.40700000000000003	0.564	0.41200000000000003	0.633	0.602	0.505	0.561	0.221	0.374	0.474	0.14400000000000002
1.67181	0.599	0.42200000000000004	0.9359999999999999	0.48	0.512	0.603	0.451	0.804	0.608	0.544	0.467	0.293	0.381	0.381	0.15
1.83858	0.5329999999999999	0.158	0.738	0.579	0.479	0.603	0.319	0.8370000000000001	0.575	0.609	0.467	0.19399999999999998	0.315	0.447	0.15
2.00531	0.49200000000000005	0.313	0.727	0.603	0.635	0.66	0.34299999999999997	0.63	0.599	0.502	0.45899999999999996	0.218	0.40399999999999997	0.47100000000000003	0.207
2.17188	0.624	0.214	0.792	0.57	0.47	0.561	0.409	0.7290000000000001	0.599	0.6	0.525	0.185	0.503	0.537	0.207
2.3386	0.586	0.307	0.884	0.564	0.695	0.688	0.337	0.888	0.56	0.594	0.6509999999999999	0.081	0.49700000000000005	0.531	0.3
2.50531	0.525	0.34600000000000003	0.825	0.57	0.503	0.693	0.21100000000000002	0.927	0.665	0.502	0.5579999999999999	0.087	0.503	0.537	0.207
2.67197	0.495	0.11900000000000001	0.8290000000000001	0.606	0.539	0.6629999999999999	0.34600000000000003	0.7979999999999999	0.7	0.636	0.627	0.122	0.506	0.474	0.111
2.83867	0.43700000000000006	0.22699999999999998	0.742	0.5820000000000001	0.614	0.573	0.256	0.84	0.578	0.547	0.536	0.0	0.614	0.45	0.153
3.00534	0.619	0.109	0.884	0.6629999999999999	0.629	0.589	0.435	0.8220000000000001	0.659	0.496	0.45399999999999996	0.212	0.596	0.531	0.135
3.1719	0.586	0.24100000000000002	0.818	0.597	0.49700000000000005	0.688	0.23800000000000002	0.986	0.757	0.594	0.5529999999999999	0.212	0.39799999999999996	0.43200000000000005	0.135
3.33872	0.47600000000000003	0.294	0.9009999999999999	0.486	0.485	0.5770000000000001	0.423	0.81	0.745	0.5820000000000001	0.64	0.266	0.584	0.42	0.12300000000000001
3.50535	0.682	0.337	0.8140000000000001	0.66	0.593	0.75	0.597	0.885	0.688	0.493	0.451	0.473	0.659	0.528	0.198
3.67207	0.659	0.18	0.784	0.536	0.503	0.629	0.605	0.894	0.632	0.6659999999999999	0.495	0.645	0.667	0.635	0.109
3.83881	0.583	0.337	0.88	0.66	0.593	0.652	0.696	1.016	0.6559999999999999	0.69	0.649	0.703	0.659	0.627	0.297
4.00549	0.665	0.317	0.89	0.674	0.509	0.733	0.775	0.8009999999999999	0.5720000000000001	0.573	0.435	0.75	0.575	0.608	0.18
4.1722	0.591	0.505	0.846	0.632	0.565	0.659	0.897	0.956	0.727	0.597	0.591	0.872	0.73	0.599	0.171
4.33876	0.462	0.508	0.784	0.733	0.568	0.629	0.9990000000000001	0.795	0.927	0.5670000000000001	0.594	1.04	0.733	0.504	0.109
4.50545	0.782	0.597	0.871	0.6579999999999999	0.5920000000000001	0.653	1.055	0.852	0.754	0.657	0.52	0.9640000000000001	0.5589999999999999	0.527	0.1
4.67214	0.544	0.7509999999999999	0.7609999999999999	0.649	0.452	0.612	1.176	0.777	0.7120000000000001	0.5489999999999999	0.511	1.1840000000000002	0.616	0.584	0.057999999999999996
4.83881	0.6759999999999999	0.85	0.7609999999999999	0.649	0.583	0.644	1.439	0.843	0.647	0.746	0.61	1.48	0.747	0.682	0.28800000000000003
5.00554	0.6729999999999999	0.879	0.823	0.5479999999999999	0.58	0.7070000000000001	1.4680000000000002	0.774	0.644	0.743	0.607	1.476	0.613	0.515	0.285
5.17226	0.585	0.958	0.772	0.56	0.5589999999999999	0.752	1.744	0.753	0.951	0.69	0.618	1.621	0.461	0.691	0.264
5.33889	0.659	1.067	0.784	0.569	0.568	0.727	1.557	0.795	0.665	0.502	0.594	1.828	0.667	0.602	0.207
5.50559	0.665	1.172	0.693	0.542	0.6729999999999999	0.7659999999999999	1.86	0.768	0.769	0.508	0.599	1.901	0.575	0.6409999999999999	0.18
5.67232	0.473	1.335	0.8190000000000001	0.7090000000000001	0.675	0.606	2.088	0.87	0.706	0.5760000000000001	0.604	2.063	0.61	0.512	0.249
5.83887	0.659	1.3630000000000002	0.685	0.6679999999999999	0.601	0.76	2.149	0.861	0.73	0.6990000000000001	0.594	2.124	0.569	0.635	0.207
6.00561	0.599	1.567	0.7909999999999999	0.674	0.509	0.634	2.255	0.768	0.6709999999999999	0.672	0.632	2.427	0.772	0.7070000000000001	0.27899999999999997
6.17235	0.599	1.567	0.758	0.674	0.575	0.667	2.419	0.8009999999999999	0.736	0.606	0.632	2.591	0.64	0.7070000000000001	0.213
6.33898	0.585	1.5819999999999999	0.838	0.527	0.461	0.7190000000000001	2.5	0.7859999999999999	0.721	0.591	0.7170000000000001	2.6719999999999997	0.527	0.527	0.297
6.5057	0.6509999999999999	1.746	0.6409999999999999	0.56	0.5589999999999999	0.7190000000000001	2.6310000000000002	0.655	0.6559999999999999	0.591	0.618	2.8689999999999998	0.527	0.527	0.166
6.6723	0.46799999999999997	1.82	1.008	0.7020000000000001	0.47200000000000003	0.633	2.6060000000000003	0.733	0.799	0.5379999999999999	0.5	3.138	0.505	0.67	0.243
6.83898	0.613	1.9909999999999999	0.687	0.583	0.517	0.613	2.94	0.7120000000000001	0.7120000000000001	0.517	0.58	3.472	0.583	0.6809999999999999	0.125
7.00567	0.574	2.0269999999999997	0.659	0.7120000000000001	0.48200000000000004	0.5429999999999999	3.207	0.742	0.7090000000000001	0.546	0.6729999999999999	3.838	0.449	0.581	0.38299999999999995
7.17242	0.583	2.334	0.736	0.623	0.491	0.552	3.5789999999999997	0.685	0.8170000000000001	0.588	0.615	4.211	0.556	0.623	0.195
7.33905	0.561	2.25	0.685	0.6679999999999999	0.503	0.727	3.825	0.6970000000000001	0.632	0.6	0.626	4.359	0.47	0.602	0.306
7.50589	0.523	2.526	0.6	0.723	0.46	0.622	4.032	0.6559999999999999	0.721	0.657	0.588	4.696000000000001	0.493	0.6579999999999999	0.23199999999999998
7.67237	0.542	2.8480000000000003	0.757	0.6459999999999999	0.547	0.7070000000000001	4.257	0.6759999999999999	0.644	0.645	0.509	5.085	0.449	0.581	0.252
7.83904	0.531	3.127	0.644	0.634	0.469	0.63	4.765	0.73	0.6970000000000001	0.5670000000000001	0.563	5.724	0.6990000000000001	0.601	0.175
8.00581	0.484	3.22	0.5720000000000001	0.754	0.655	0.716	5.0569999999999995	0.75	0.718	0.555	0.615	6.05	0.556	0.688	0.163
8.17245	0.479	3.245	0.63	0.748	0.583	0.743	5.245	0.6459999999999999	0.647	0.5820000000000001	0.511	6.992000000000001	0.55	0.682	0.255
8.33919	0.479	3.6060000000000003	0.7609999999999999	0.715	0.583	0.513	5.869	0.679	0.7120000000000001	0.5820000000000001	0.5770000000000001	7.189	0.419	0.617	0.19
8.5058	0.542	3.93	0.626	0.7120000000000001	0.41600000000000004	0.609	5.962999999999999	0.742	0.742	0.579	0.706	7.972	0.515	0.581	0.187
8.67256	0.542	4.553	0.659	0.5479999999999999	0.48200000000000004	0.838	6.848	0.6759999999999999	0.9390000000000001	0.579	0.6729999999999999	8.267000000000001	0.515	0.679	0.187
8.83915	0.7390000000000001	4.619	0.725	0.6459999999999999	0.48200000000000004	0.74	7.505	0.742	0.7090000000000001	0.6779999999999999	0.574	8.497	0.547	0.778	0.187
9.00591	0.539	5.041	0.622	0.741	0.544	0.54	7.992000000000001	0.575	0.7390000000000001	0.445	0.67	9.804	0.34700000000000003	0.6759999999999999	0.151
9.1726	0.479	5.2139999999999995	0.6629999999999999	0.616	0.583	0.743	8.264	0.6459999999999999	0.647	0.779	0.5770000000000001	9.618	0.518	0.7809999999999999	0.057999999999999996
9.33928	0.6809999999999999	5.747999999999999	0.5720000000000001	0.721	0.556	0.716	9.357999999999999	0.75	0.8170000000000001	0.654	0.583	10.974	0.556	0.688	0.163
9.50589	0.5329999999999999	6.803	0.746	0.735	0.44	0.6990000000000001	9.916	0.667	0.7	0.669	0.5660000000000001	10.972999999999999	0.604	0.506	0.243
9.67264	0.525	6.756	0.7020000000000001	0.628	0.562	0.5920000000000001	9.9	0.626	0.7240000000000001	0.529	0.5579999999999999	11.907	0.595	0.6609999999999999	0.267
9.83936	0.5579999999999999	7.337999999999999	0.583	0.5660000000000001	0.565	0.659	10.589	0.6940000000000001	0.662	0.6629999999999999	0.624	12.864	0.467	0.632	0.204
